object file;KBDB_SOCK_UPD;CheckResourceHandling;KWLEF.statNPD;statNPD;TaintedString.ABV_NNTS;KBDB_SOCK_UPD_KB;RNC;KWLEF.generated kb dump;RegistryManipulation;NPD;LA_UNUSED;REPCXX.prep_and_parser;TaintedIntWarnings;TaintedString;clef.kbDump;TaintedStringKB;mir checksum;CONCKB;UsageRulesChecker;UNUSED.FUNC;LS;KWLEF.MAIN;TaintedDeref.SINKKB;USAGE_RULES_FOR_CALLS;CheckReturnValueIsTested;REPCXX.XPath;TaintedString.SOURCEKB;clef.processing_file;restore mir;DBZ;REPCXX.call_graph;Concurrency;FREE;KBDB_SOCK_UPD_KB_RECV;HashNoSalt;BindFunctionCheck;mir_function_finalize;CheckInconsistentLabels;LINKER.ReadingObjects;CWARN.NOEFFECT.TREE;ByteOrderConversionChecker;RNPD;recv_cached_data;ast_to_mir converter;RegistryManipulationPATH;DEADCODE;TaintedAlloc.SINKKB;CheckIterator;KBDB_SOCK_UPD_HASH;ABVKB;WRITEKB;UMR;SECURITY;MLK;orderFunctionNodes;REPCXX.lef_init;TaintedDerefKB;RDT;INF_LOOP;KBDB_SOCK_GET_KB;REPCXX.checkers;NPDKB;KBDB_SOCK_UPD_DEFECTS;KBDB_CACHE_WRITE;MemberInitializersOrder;NPD.SRC;GENERAL_KB;KBDB_SOCK_GET;mir save;CACHE_SOCK_GET;TaintedAllocKB;TaintedString.PROPKB;PortingStorageStruct;LINKER.Linking;CheckStringParameter;REPCXX.lef_finalize;TaintedAlloc.SOURCEKB;READKB;RETURN;AnalyzeModifiedGlobals;SizeAssignCheck;TaintedIntWarningsKB;TaintedAlloc;PortingVarEffects;FREEKB;mir_function_init;CheckLocAddrRet;REPCXX.MIR_related;ALLOCKB.XMRF;ASSIGCOND;NUM_OVERFLOW;EFFECT;MallocSizeofPointer;PreConditionChecker;KBDB_CACHE_READ;ALLOCKB.ALLOC;TaintedDeref;HardcodedCredentials;ByteOrderConversionKBGenerator;KBDB_SOCK_UPD_KB_SYNC;RCA;REPCXX.sema_and_rdt;preprocessing;KWLEF.analysis loop;KWLEF.M1SOCK_OUTER;UNUSEDVAR;ALLOCKB;CLASSLEVEL;FormatString;rhReleaseKB;KWLEF.M2SOCK_INNER;KBDB_SOCK_UPD_KB_DBREAD;UNUSEDVALUE;KWLEF.finalizing cache;KBDB_SOCK_UPD_KB_DBWRITE;clef.kbDumpSocket;REPCXX.metrics;TaintedString.SINKKB;clef.kbDInit;StrongTypeCheck;TaintedIntWarnings.SINKKB;parsing;SEMICOL;SpecExecChecker;KBDB_SOCK_GET_ENT;LINKER.InitializationInv;
BabyGridWrapper.cpp_10.o;6.826;4.787;1.887;0.827;0.827;0.006;0.829;0.002;0.024;0.001;0.017;0.009;0.004;0.046;0.011;0.003;0.093;0.008;0.040;0.465;0.013;0.745;1.131;0.363;0.040;0.199;0.012;0.000;0.106;0.255;1.655;0.015;0.000;0.000;0.015;0.062;0.078;0.015;0.000;0.046;0.000;0.078;0.000;0.000;0.015;0.046;0.140;0.203;0.015;0.015;0.078;0.046;0.000;0.109;0.015;0.046;0.000;0.046;0.000;0.000;0.000;0.015;0.000;0.031;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.046;0.000;0.000;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BabyGridWrapper.cpp_133.o;11.866;8.174;3.398;1.656;1.656;0.012;1.397;0.013;0.041;0.007;0.093;0.000;0.008;0.049;0.038;0.001;0.120;0.000;0.053;0.762;0.016;1.112;1.709;0.536;0.090;0.294;0.019;0.011;0.153;0.395;1.827;0.046;0.031;0.000;0.031;0.015;0.015;0.015;0.015;0.062;0.000;0.078;0.015;0.000;0.015;0.062;0.187;0.265;0.031;0.015;0.062;0.046;0.000;0.124;0.031;0.078;0.000;0.078;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.031;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BabyGridWrapper.cpp_256.o;7.090;4.796;2.138;0.796;0.796;0.015;0.749;0.000;0.062;0.000;0.031;0.000;0.015;0.000;0.015;0.000;0.124;0.000;0.031;0.359;0.000;0.609;1.062;0.359;0.031;0.218;0.015;0.000;0.093;0.281;2.452;0.046;0.000;0.000;0.015;0.031;0.078;0.000;0.000;0.046;0.015;0.062;0.015;0.015;0.015;0.093;0.140;0.249;0.031;0.031;0.078;0.015;0.015;0.140;0.031;0.046;0.000;0.031;0.078;0.000;0.000;0.015;0.046;0.000;0.046;0.062;0.000;0.093;0.062;0.031;0.046;0.031;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Buffer.cpp_11.o;10.002;5.746;4.122;1.602;1.602;0.010;1.604;0.039;0.070;0.004;0.070;0.010;0.008;0.006;0.040;0.000;0.106;0.000;0.095;0.898;0.011;1.102;4.872;1.280;0.605;0.847;0.080;0.010;0.131;0.383;8.435;0.796;0.140;0.124;0.124;0.062;0.171;0.156;0.046;0.218;0.062;0.296;0.078;0.062;0.078;0.234;0.640;0.734;0.093;0.124;0.656;0.171;0.062;0.437;0.062;0.109;0.000;0.046;0.000;0.062;0.015;0.031;0.000;0.046;0.000;0.000;0.000;0.000;0.000;0.046;0.000;0.062;0.062;0.000;0.000;0.007;0.000;0.000;0.062;0.062;0.000;0.015;0.124;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Buffer.cpp_134.o;18.760;11.454;7.010;2.224;2.224;0.020;2.870;0.013;0.143;0.014;0.082;0.016;0.014;0.067;0.063;0.007;0.207;0.001;0.125;1.766;0.034;1.841;7.105;2.060;0.807;1.202;0.132;0.009;0.192;0.567;12.685;1.275;0.261;0.169;0.373;0.337;0.124;0.062;0.000;0.842;0.031;0.790;0.191;0.124;0.109;0.474;0.859;0.843;0.062;0.171;1.398;0.729;0.175;0.499;0.109;0.213;0.016;0.116;0.000;0.046;0.000;0.031;0.000;0.031;0.000;0.000;0.000;0.000;0.000;0.112;0.000;0.034;0.080;0.000;0.000;0.007;0.000;0.002;0.046;0.031;0.015;0.015;0.109;0.015;0.000;0.046;0.008;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Buffer.cpp_257.o;9.855;6.014;3.684;1.296;1.296;0.015;1.296;0.015;0.078;0.000;0.062;0.000;0.000;0.031;0.031;0.000;0.078;0.000;0.078;0.843;0.000;0.859;3.811;1.031;0.453;0.671;0.078;0.000;0.109;0.343;22.744;1.499;0.312;0.203;0.406;0.249;0.171;0.156;0.046;0.968;0.031;0.593;0.187;0.093;0.140;0.468;0.874;1.046;0.078;0.171;1.609;0.874;0.171;0.640;0.156;0.265;0.015;0.156;1.265;0.062;0.046;0.015;0.531;0.046;0.765;0.249;0.015;3.046;1.655;0.093;0.531;0.062;0.093;0.140;0.140;0.000;0.000;0.000;0.031;0.078;0.015;0.062;0.124;0.015;0.000;0.015;0.000;0.000;0.015;0.000;0.000;0.015;0.015;0.000;0.015;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CharDistribution.cpp_12.o;0.214;0.055;0.005;0.000;0.000;0.014;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.009;0.009;0.001;0.001;0.000;0.006;0.000;0.002;0.000;0.234;0.015;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.015;0.000;0.031;0.000;0.000;0.000;0.000;0.000;0.062;0.062;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CharDistribution.cpp_135.o;0.413;0.097;0.013;0.003;0.003;0.017;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.005;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.015;0.007;0.003;0.005;0.000;0.002;0.004;0.000;0.203;0.015;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.031;0.000;0.000;0.015;0.000;0.000;0.031;0.031;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
CharDistribution.cpp_258.o;0.249;0.046;0.015;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.015;0.312;0.000;0.000;0.000;0.000;0.000;0.015;0.015;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.031;0.000;0.000;0.031;0.015;0.000;0.062;0.062;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.031;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
ColourPicker.cpp_137.o;12.574;9.768;2.523;1.023;1.023;0.018;0.839;0.004;0.030;0.000;0.087;0.008;0.000;0.023;0.021;0.001;0.120;0.000;0.039;0.254;0.004;1.051;0.362;0.155;0.007;0.054;0.006;0.001;0.141;0.294;0.515;0.078;0.015;0.031;0.000;0.000;0.015;0.015;0.000;0.015;0.000;0.000;0.015;0.000;0.015;0.031;0.031;0.078;0.046;0.000;0.031;0.015;0.000;0.031;0.015;0.000;0.000;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
